File Name,File Extension,File Size,Created Time,Modified Time,File Path
2_2025-02-28_16-55-11.mp4,.mp4,721507647,2025-03-04 16:34:46,2025-03-01 03:55:12,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-02-28_16-55-11.mp4
2_2025-02-28_22-55-13.mp4,.mp4,1472780387,2025-03-04 16:34:52,2025-03-01 09:55:13,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-02-28_22-55-13.mp4
2_2025-03-01_04-55-14.mp4,.mp4,2061808001,2025-03-04 16:35:05,2025-03-01 15:55:14,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-01_04-55-14.mp4
2_2025-03-01_10-55-15.mp4,.mp4,985331663,2025-03-04 16:35:23,2025-03-01 21:55:16,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-01_10-55-15.mp4
2_2025-03-01_16-55-17.mp4,.mp4,1031258728,2025-03-04 16:35:31,2025-03-02 03:55:18,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-01_16-55-17.mp4
2_2025-03-01_22-55-19.mp4,.mp4,1886118658,2025-03-04 16:35:40,2025-03-02 09:55:19,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-01_22-55-19.mp4
2_2025-03-02_04-55-20.mp4,.mp4,1929488006,2025-03-04 16:35:57,2025-03-02 15:55:20,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-02_04-55-20.mp4
2_2025-03-02_10-55-21.mp4,.mp4,1026813666,2025-03-04 16:30:15,2025-03-02 21:55:22,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-02_10-55-21.mp4
2_2025-03-02_16-55-23.mp4,.mp4,1051280776,2025-03-04 16:30:24,2025-03-03 03:55:23,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-02_16-55-23.mp4
2_2025-03-02_22-55-24.mp4,.mp4,2039734714,2025-03-04 16:30:33,2025-03-03 09:55:25,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-02_22-55-24.mp4
2_2025-03-03_04-55-26.mp4,.mp4,2075040513,2025-03-04 16:30:52,2025-03-03 15:55:26,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-03_04-55-26.mp4
2_2025-03-03_10-55-27.mp4,.mp4,1053307771,2025-03-04 16:31:11,2025-03-03 21:51:31,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\2_2025-03-03_10-55-27.mp4
3_2025-02-28_16-55-10.mp4,.mp4,1125677343,2025-03-04 16:31:21,2025-03-01 03:55:11,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-02-28_16-55-10.mp4
3_2025-02-28_22-55-12.mp4,.mp4,613616999,2025-03-04 16:31:31,2025-03-01 09:55:13,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-02-28_22-55-12.mp4
3_2025-03-01_04-55-14.mp4,.mp4,570485312,2025-03-04 16:31:37,2025-03-01 15:55:14,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-01_04-55-14.mp4
3_2025-03-01_10-55-15.mp4,.mp4,1027817124,2025-03-04 16:31:42,2025-03-01 21:55:16,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-01_10-55-15.mp4
3_2025-03-01_16-55-17.mp4,.mp4,979622246,2025-03-04 16:31:51,2025-03-02 03:55:18,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-01_16-55-17.mp4
3_2025-03-01_22-55-19.mp4,.mp4,521547299,2025-03-04 16:32:00,2025-03-02 09:55:19,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-01_22-55-19.mp4
3_2025-03-02_04-55-20.mp4,.mp4,546370805,2025-03-04 16:32:05,2025-03-02 15:55:20,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-02_04-55-20.mp4
3_2025-03-02_10-55-21.mp4,.mp4,992152484,2025-03-04 16:32:09,2025-03-02 21:55:22,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-02_10-55-21.mp4
3_2025-03-02_16-55-23.mp4,.mp4,974735818,2025-03-04 16:32:18,2025-03-03 03:55:23,Z:\migratedData\Lab\Social_Sleep\ASD_Huddling\SibM3_SibM4_022825\3_2025-03-02_16-55-23.mp4
